Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
May isdang lumilipad.	Kelkaj fiŝoj flugas.	isdang	0	0
Ang oras na lumipas ay di-kailanmang bumabalik.	La tempo, kiu pasis, neniam revenos.	bumabalik	0	0
Naniniwala ako sa eksplorasyon sa kalawakan at tuluyang kolonisasyon ng ating Sistemang Solar, at sa kalaunan ng ating galaksiyang Daang Magatas. Si Elon Musk, ang multibilyunaryo, ay naniniwalang ang sangkatauhan ay dapat yumaman at maging "makaespasyong sibilisasyon at multiplanetaryong espesye." Siya at ako ay magkasundo.	Mi kredas pri spaca esploro kaj eventuala koloniigo de nia Sunsistemo, kaj poste de nia galaksio Lakta Vojo. Elon Musk la multmiliardulo opinias, ke la homaro riĉiĝu kaj fariĝu "spachava civilizo kaj multplaneda specio". Mi kaj li estas en akordo.	tuluyang	0	0
Magtenis tayo nitong tanghali.	Ni ludu tenison ĉi-posttagmeze.	tanghali	0	0
Nakakasiya sa amin ni ginto ni kadakilaan.	Nek oro nek gloro feliĉigas nin.	kadakilaan	0	0
May lagnat ang anak ko. Puwede bang pakitawag ng doktor?	Mia filino estas febra. Ĉu mi devas voki kuraciston?	lagnat	0	0
"Mas gusto mo ang sarili mong imahinasyon," sabi ni Dennis kay Vo.	"Vi preferas vian propran imagon," Dennis diris al Vo.	imahinasyon	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	kilalang	0	0
Bigyan ng maskara ang tao at sasabihin niya ang katotohanan.	Donu maskon al homo kaj li aŭ ŝi diros la veron.	maskara	0	0
Parehas silang nanggagaling sa parehong bansa.	Ili venas el la sama lando.	nanggagaling	0	0
Dinatingan ko, nakita ko, sinakop ko.	Mi venis, mi vidis, mi venkis.	sinakop	0	0
Kinaumagahan nang ika-18 ng Oktubre ng 2021, pinag-usapan namin ni Hans na Olandes ang tungkol sa Nederlandiya. Uminom siya ng regular na kape, at uminom ako ng medyum na mayelong berdeng tsaa, sa kapihang Istarbaks. Dumating siya sa Canada mula sa Nederlandiya noong siya ay 10 taong gulang lamang. Dumating ako sa Canada mula sa Pilipinas noong 10 taong gulang din ako. Sinabi ko sa kanyang bumisita ako sa Nederlandiya at nasisiyahan sa lumang arkitektura sa Amsterdam, ngunit hindi ko nakita ang sakahan ng mga tulip sa labas ng lungsod. Tinuruan niya ako kung paano bigkasin ang "van Gogh." Marunong pa rin siya ng Olandes.	La 18-an de oktobro de 2021 matene, mi kaj Hans la nederlandano parolis pri Nederlando. Li trinkis regulan kafon, kaj mi trinkis mezgrandan glacian verdan teon, ĉe la kafejo Starbukso. Li alvenis al Kanado el Nederlando, kiam li estis nur 10-jaraĝa. Mi alvenis al Kanado el Filipinoj, kiam mi estis ankaŭ 10-jaraĝa. Mi diris al li, ke mi vizitis Nederlandon kaj ĝuis la oldan arkitekturon en Amsterdamo, sed mi ne vidis la tulipejon ekster la urbo. Li instruis min kiel oni prononcas "van Gogh". Li ankoraŭ scipovas la nederlandan.	gulang	0	0
Matalinong tao ang tingin niya sa sarili.	Ŝi pensas pri si mem, kiel pri inteligenta persono.	matalinong	0	0
Ang kalibuhang kagandahan ng tag-initang kabundukang damuhang kasama ang kanyang walang bilang na di-halatang kulay-kulayan ay pinupuno ang puso ko ng belyudong damdaming kaligayahan.	La milvaria belo de la somera surmonta herbejo kun ĝia nenombrebla kvanto de kolornuancoj plenigas mian koron kun velura sento de beato.	pinupuno	0	0
Naririnig mo ba ang mga dahon sa ilalim ng magaan na talampakan ng birhen? Nakikita mo bang tumatakas ang mga anino ng kanyang aninag na balabal at mga tutop ng kanyang tunika? Naaamoy mo ba ang pabangong nasa harap niyang katulad ng tagapagpauna ng anito?	Ĉu vi aŭdas la foliojn suspiri sub la malpeza plando de virgulino? Ĉu vi vidas flirti inter ombroj la bordojn de ŝia diafana ŝalo kaj la orlojn de ŝia blanka tuniko? Ĉu vi sentas la parfumon kiu antaŭas ŝin kiel heroldo de feo?	magaan	0	0
Tulad ng nabanggit na, ang Ikatlong Tao ay madaling kapitan ng mga yugto ng pagkaabala sa sinaunang pagnanasa para sa personal na kawalang-kamatayan. Ang kasakimang ito ay madalas na malakas sa mga Unang Tao; at maging ang Pangalawang Tao, sa kabila ng kanilang dakilang kaloob ng detatsment, kung minsan ay pinahihintulutan sila ng kanilang paghanga sa personalidad ng taong hikayatin silang ang mga kaluluwa ay mabubuhay magpakailanman. Ang panandalian at di-teoretikal na Ikatlong Tao, kasama ang kanilang pagkahilig sa lahat ng uri ng buhay, at lahat ng pagkakaiba-iba ng mahahalagang pag-uugali, ay naglihi ng imortalidad sa iba't ibang paraan. Sa kanilang huling kultura, naisip nilang sa kamatayan ang lahat ng nabubuhay na bagay na sinang-ayunan ng Diyos-Buhay ay dumaan sa ibang mundo, na halos kapareho sa kilalang mundo, ngunit mas masaya. Doon sila ay sinasabing nanirahan sa presensya ng diyos, na naglilingkod sa kanya sa walang pigil na mahahalagang pagkamalikhain nang iba't ibang uri.	Kiel jam dirite, la Triaj Homoj estis emaj al fazoj de okupiteco kun la antikva avido al persona senmorteco. Ĉi tiu avido ofte estis forta inter la Unuaj Homoj; kaj eĉ la Duaj Homoj, malgraŭ sia granda dono de malligo, kelkfoje permesis, ke ilia admiro por homa personeco persvadi ilin, ke animoj devas vivi eterne. La mallongdaŭraj kaj neteoriaj Triaj Homoj, kun sia pasio por ĉiaspecaj vivaĵoj, kaj la tuta diverseco de esenca konduto, konceptis senmortecon en diversaj manieroj. En sia fina kulturo ili imagis, ke ĉe la morto ĉiuj vivaĵoj, kiujn aprobis la Vivo-Dio, transiris en alian mondon, tre similan al la konata mondo, sed pli feliĉa. Tie ili laŭdire vivis en la ĉeesto de la diaĵo, servante lin en senbrida esenca kreivo de diversaj specoj.	sinaunang	0	0
May asul na likido sa bote.	Estas blua likvo en la botelo.	likido	0	0
Tinago niya nang sekreto.	Li konservis ĝin sekreta.	sekreto	0	0
Sa lupang piso ng palasyo ay salon ng sayawan, salon ng salamin, salon ng kainan, salon ng pangangaso, at salon ng kainsikan.	En la teretaĝo de la palaco situas balsalono, spegula salono, manĝosalono, ĉasĉambro kaj ĉina ĉambro.	kainan	0	0
Marunong siya lamang manuro ng kapitbahay	Ŝi nur kapablas fingre montri la najbarojn.	kapitbahay	0	0
Nabanggit ko kay Michael na Tsino ang bisita ko noong Gradong 6 sa Isla Galiano, at nakita ko roon ang maraming harding ahas na iba-ibang kulay sa mga damo. Kinuha ng mga kaklase ko, at nilagay nila sa kahon para iuwi nila sa Isla Lulu. Nakakita raw si Michael ng harding ahas dito sa Isla Lulu, sa malapit sa Daang Numero 7. Hindi ko alam na may ahas pala rito. Sabi ni Michael na hindi siya mamamayan dito, at nagpapabago siya ng kanyang bisang pangbisita bawat taon. Ang asawa at mga anak niya ay mamamayan dito. Sabi ko'y sa Isla Bali sa Indonesia, natikman ko na ang "bunga ng ahas" o "salak" ang tawag doon.	Mi menciis al Miĥaelo la ĉino, ke mi vizitis dum la klaso 6 al Galiano-insulo, kaj tie mi vidis multajn ĝardenajn serpentojn diverskolorajn en la herbo. Miaj samklasanoj prenis ilin, kaj ili metis ilin en skatolojn por porti hejmen al Lulu-insulo. Miĥaelo supozeble vidis ĝardenan serpenton ĉi tie sur Lulu-insulo, proksime al Stratego Numero 7. Mi ne sciis, ke ĉi tie ekzistas serpentoj. Miĥaelo diras, ke li ne estas civitano ĉi tie, kaj li renovigas sian vizitantan vizon ĉiujare. Liaj edzino kaj infanoj estas civitanoj ĉi tie. Mi diris, ke sur Bali-insulo en Indonezio, mi gustumis la "serpentan frukton" aŭ "salak"-on kiel ĝi nomiĝas tie.	bali	0	0
Nag-almusal ako nang alas siyete nitong umaga.	Mi matenmanĝas je la sepa ĉiu-matene.	nag-almusal	0	0
Gusto naming kumain. Puwede ba ninyong bilisan ang serbisyo? Dapat kaming umalis nang alas 13 y medya.	Ni deziras manĝi. Ĉu vi povos servi nin rapide? Ni devos foriri antaŭ la dek tria kaj duono.	serbisyo	0	0
Pampalusog ang sariwang prutas.	Freŝaj fruktoj bonas por la sano.	pampalusog	0	0
Sabi ko kay Michael na Tsinong natikman ko na ang pagkain ng Ethiopia sa restawran sa Vancouver, BC. May malaking parang pankeyk na ang tawag ay "injera," at ginagamit ito para isubo ang ulam nang kamayan.	Mi diris al Miĥaelo la ĉino, ke mi jam gustumis etiopian manĝaĵon en restoracio en Vankuvero, BK. Estis granda krespeskaĵo nomata "inĝera", kaj oni kutimis verŝi la pladon permane per ĝi.	natikman	0	0
Ang Hapon sa pinakabawas ay kumakain ng kanin nang isang beses sa isang araw.	La japanoj minimume unufoje tage manĝas rizon.	kanin	0	0
Tumuloy umulang malakas pasado nang alas 10 nang umaga ng ika-16 ng Abril ng 2023 rito sa Isla Lulu. Naglakad muli ako. Malamig sa labas. Tapos, nasa pizzeria akong kumakain ng isang pirasong may pepperoni at umiinom ng Diet Cola. Ang tindero ay si Sachet, isang Bumbay na nakikinig sa radyo sa lengguwaheng Hindi, yata. Binabasa ko nang malakas ang Pranses na librong L'Empire romain ni Pierre Grimal, tungkol sa Imperyong Romano. Kaunti ang mga kustomer na dumating sa pizzeria dahil sa ulan.	Daŭre pluvegis post la 10-a matene la 16-an de aprilo de 2023 ĉi tie sur Lulu-insulo. Mi denove marŝis. Estis malvarme ekstere. Poste, mi estis en la picejo manĝante tranĉaĵon kun peperonio kaj trinkante Dietan Kolaon. La vendisto estis Saĉet, baratano, kiu aŭskultis la radion per la hindia lingvo, verŝajne. Mi voĉlegis la franclingvan libron L'Empire romain de Pierre Grimal, pri la Romia Imperio. Malmultaj klientoj venis al la picejo pro la pluvegado.	diet	0	0
Magtrabaho, kumain, uminom, tumulog, magmahal: lahat ay ayon sa sukat.	Labori, manĝi, trinki, dormi, ami: ĉio estu laŭ mezuro.	magmahal	0	0
Sinabi ni Pangulong Mao, "Ang relihiyon ay lason."	Prezidanto Mao diris, "Religio estas veneno."	relihiyon	0	0
Iyon ay talagang walang relasyon sa problemang iyon.	Tio tute ne rilatas al tiu problemo.	problemang	0	0
Ipakikita ko sa iyo ang lugar na puwede pang makahinga ang tao.	Mi montru al vi lokon kie oni ankoraŭ povas spiri.	makahinga	0	0
May magaling na restoran ba sa paligid nito?	Ĉu ekzistas bonaj restoracioj ĉirkaŭ ĉi tie?	restoran	0	0
Nag-almusal ako nang alas siyete nitong umaga.	Mi matenmanĝas je la sepa ĉiu-matene.	siyete	0	0
Kung mayaman ako, bibilhin ko.	Se mi estus riĉa, mi aĉetus ĝin.	bibilhin	0	0
Phoenix ang kabisera ng Arizona.	Phoenix estas la ĉefurbo de Arizona.	arizona	0	0
Nakita ko si Miguel na Tsino sa kapihang Istarbaks sa Isla Lulu nang ika-25 ng Oktubre ng 2021. Nakasuot siya ng itim na dyaket para sa motorsiklo. Mayroon daw siyang motorsiklong Ducati ng Italya. Binanggit niya ang isang babaeng nagkantot ng tatlong ibang lalaki sa jacuzzi. Pinag-usapan namin ang mga seksong sakit. Tapos, pinag-usapan namin ang mga diaspora ng mga Tsino sa mundong ito. Ang mga Kantones ay sa Anglospera. Ang mga Hokkien ay sa Taiwan at Timog-silangang Asya. Hokkien ang mga ninuno ko, sabi ko. Binanggit niya ang mga Taga-Wenzhou, yaong maraming pumunta'y sa Europa.	Mi vidis Miĥaelon la ĉino ĉe la kafejo Starbukso sur Lulu-insulo la 25-an de oktobro de 2021. Li portis nigran motorciklan jakon. Li diris, ke li posedas Ducati-motorciklon el Italio. Li menciis virinon, kiu fikis tri malsamajn virojn en kirlakva banujo. Ni parolis pri seksaj malsanoj. Poste, ni parolis pri la diasporoj de la ĉinoj en ĉi tiu mondo. La kantonanoj estas en la Anglosfero. La hokkienoj estas en Tajvano kaj Sudorienta Azio. Miaj prapatroj estis hokkienoj, mi diris. Li menciis la Wenzhou-anojn, el kiuj multaj iris al Eŭropo.	italya	0	0
Si Rosa ay isang Pilipinang tindera sa isang pizzeria sa Isla Lulu. Marunong siya nang apat na wikang Pilipino, ng Ingles, at nang kaunti ng Kantones, dahil nanirahan siya sa Hong Kong nang siyam na kagiliw-giliw na taon. Medyo naglakbay siya sa Kanton sa Tsina at sa Timog-silangang Asya. Mayroon siyang dalawang anak. Nagmamay-ari siya ng isang condominium sa Isla Lulu. Ang kanyang malayong bayan ay ang Cagayan sa hilagang Luzon sa Pilipinas.	Roza estas filipina vendistino en picejo sur Lulu-insulo. Ŝi parolas kvar filipinajn lingvojn, la anglan, kaj iomete la kantonan, ĉar ŝi loĝis dum naŭ interesaj jaroj en Honkongo. Ŝi iom vojaĝis tra Kantonio en Ĉinio kaj tra Sudorienta Azio. Ŝi havas du gefilojn. Ŝi posedas bienan apartamenton sur Lulu-insulo. Ŝia fora hejmlando estas Kagajano en norda Luzon-insulo en Filipinoj.	timog-silangang	0	0
Sa tsaahan ngayong malamig at umuulang umaga nang ika-16 ng Abril ng 2023, umiinom ako ng Istrobering Abenang Matchang Latte at kumakain ng mga tsip na patatas. Ang baristang gumawa ng inumin ko ay isang Ingles-Hapones na mestisong si Chris. May regular na kostumer na dumating. Matangkad at malaking lalaking kayumanggi ang buhok, at kasama niya ang maliit na anak niyang babaeng mukhang Inglesa-Intsik na mestisa. Sa isang mesa, may mga regular nang mga Sabado at Linggo. May isang Ingles, Latino, at Intsik na atletiko. Kausap nila si Brian na maitim ang buhok at balbasing Eskoses na mayaman. May tagawalis sa parking lot. Bumbay siyang Taga-Fiji. Ang pangalan ay Benny.	Ĉe la teejo dum ĉi tiu malvarma kaj pluva mateno de la 16-a de aprilo de 2023, mi trinkis fragan avenan matĉan lateon kaj manĝis fritojn. La baristo, kiu faris mian trinkaĵon, estis Chris, angla-japana miksrasulo. Venis kutima kliento. Estis alta, granda viro kun bruna hararo, kaj kun li estis lia filineto, kiu aspektis kiel angla-ĉina miksrasulino. Ĉe unu tablo, estis regulaj klientoj dum sabatoj kaj dimanĉoj. Estis anglo, latineskulo, kaj ĉino kun atleta aspekto. Ili parolis kun Brian, kiu estis riĉa skoto kun malhelaj hararo kaj barbo. Estis balaisto en la aŭtomobila parkejo. Li, baratano, devenis de Fiĝioj. La nomo estis Benny.	brian	0	0
May mga iniisip si Rose, yaong Pilipinang tindera sa pizzeria sa Isla Lulu. Hindi siya pa desidido kung mag-aaral pa siyang maging asistente sa titser. Mga limang buwan ang planong edukasyon, pero kailangan niyang iwanan ang pizzeria dahil full-time. Lalaki ang panganay niya, at babae ang bunso. Sa gabi nagtratrabaho ang asawa niyang nadating nang mga alas-sais ng umaga sa condo nila. Sinundo ni Rose ang nanay niyang nakatira sa Cagayan sa Pilipinas (at patay nang matagal ang tatay niya). Nagmahigit nang isang taon ang nanay niya sa Isla Lulu, pero nalungkot siya at bumalik na sa Cagayan.	Roza, la filipina vendistino en la picejo sur Lulu-insulo, havas kelkajn pensojn. Ŝi ankoraŭ ne decidis, ĉu ŝi studos por iĝi instruista asistantino. La edukplano estus ĉirkaŭ kvin monatoj, sed ŝi devus forlasi la picejon, ĉar ĝi estus plentempa. Ŝia plej aĝa ido estas knabo, kaj ŝia plej juna estas knabino. Nokte, ŝia edzo laboras kaj alvenas al ilia posedapartamento ĉirkaŭ la sesa matene. Roza prenis sian patrinon, kiu loĝas en Kagajano en Filipinoj (kaj ŝia patro mortis delonge). Ŝia patrino estis sur Lulu-insulo pli ol unu jaron, sed ŝi malĝojis kaj revenis al Kagajano.	pilipinas	0	0
Ano ang kalimitang lengguwahe sa Peru?	Kiu estas la ĝenerala lingvo en Peruo?	peru	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	rental	0	0
Para sa Ikaapat na Tao, ang mga Dakilang Utak, walang buhay ang posible kundi ang buhay ng talino; at ang buhay ng talino ay naging walang bunga. Malinaw na isang bagay na higit pa sa isang malaking bahagi ng utak ang kailangan upang malutas ang mas malalim na mga problema sa intelektwal. Samakatuwid, dapat silang lumikha ng bagong kalidad ng utak, o organikong pagbuo ng utak, na may kakayahang makakita o makaunawang imposible sa kasalukuyang estado nito. Kailangan nilang matutunan kung paano gawing muli ang kanilang sariling tisyu sa utak ayon sa isang bagong plano. Sa layuning ito, at bahagyang dahil sa ignoranteng paninibugho sa natural at mas balanseng espesyeng lumikha sa kanila, sinimulan nilang gamitin ang kanilang mga nakuhang espesimen ng espesyeng iyon para sa malaking bagong pagsasagawa ng pananaliksik sa kalikasan ng tisyu ng utak ng tao.	Por la Kvaraj Homoj, la Grandaj Cerboj, ne estis ebla vivo krom la vivo de intelekto; kaj la vivo de intelekto fariĝis senfrukta. Evidente io pli ol nura grandparto de cerbo estis bezonata por la solvado de la pli profundaj intelektaj problemoj. Ili devas do iel krei novan cerbkvaliton, aŭ organikan formadon de cerbo, kapabla je vizio aŭ kompreno neebla en sia nuna stato. Ili devas lerni iel refari siajn proprajn cerbajn histojn laŭ nova plano. Kun ĉi tiu celo, kaj parte pro senscia ĵaluzo de la natura kaj pli ekvilibra specio, kiu ilin kreis, ili komencis uzi siajn kaptitajn specimenojn de tiu specio por granda nova entrepreno de esplorado pri la naturo de homa cerba histo.	nakuhang	0	0
Sansinukob na anak kang hindi bawas ng mga puno at mga bituin; may karapatan kang narito ka.	Vi estas infano de la kosmo, ne malpli ol la arboj kaj la steloj, vi rajtas esti ĉi tie.	bawas	0	0
Maraming loro ang lumilipad sa bakuran ng kastilyo.	Estas multaj papagoj flugantaj ĉe la muro de la kastelo.	bakuran	0	0
Kasasabi niya iyon, ginuhit niya ang anyo ng isda sa batong plato nang gamit ang kanyang ispada.	Dirinte tion, li desegnis sur ŝtona plato per sia glavo la formon de fiŝo.	anyo	0	0
Puno ng matamis na katas ang mansanas.	Pomoj estas plenaj de dolĉa suko.	katas	0	0
May mga unggoy na lumalangoy sa ilog na may mga puno ng niyog sa tabi.	Estas simioj naĝantaj en la rivero kun kokosarboj apud ĝi.	lumalangoy	0	0
Binisita niya ang Hawaii nang maraming beses na.	Li jam vizitis Havajon plurfoje.	binisita	0	0
Kuwento sa Ibáng Planeta: Sa malayong planeta, may dalawáng araw sa bugháw na langit, si Malakás at si Magandá. Nagtanóng ang isáng anák sa kanyáng iná, "Nanay, bakit may dalawáng araw sa langit?" Sabi ng iná, "O, anóng klaseng tanóng iyán? Ilán ang matá mo? Dalawá. Ilán ang kamáy mo? Dalawá." Sumagót ang anák, "Pero, nanay, isá lamang hô ang ilóng ko..."	Rakonto sur Alia Planedo: Sur forega planedo, ekzistas du sunoj ĉe la blua ĉielo, Fortulo kaj Belulo. Ido demandas al sia patrino, "Kara Panjo, kial ekzistas du sunoj ĉe la ĉielo?" La patrino diras, "Ho, kia demando estas tio? Kiom da okuloj ci havas? Estas du. Kiom da manoj ci havas? Estas du." La ido respondas, "Sed, Panjo, mi havas nur unu nazon..."	malayong	0	0
Sinuman lamang ang sumusunod, pagkatapos ay may karapatang umutos din.	Nur kiu povas obei, poste rajtos ankaŭ ordoni.	sumusunod	0	0
May sinabi siyang pananalitang di ko puwedeng di ulitin.	Li diris frazon, kiun mi ne povas ne ripeti.	ulitin	0	0
Malimit na miserable ang mga mamayaman.	La riĉuloj estas ofte mizeraj.	miserable	0	0
Binuhos ko ang tubig paloob ng balde.	Mi donis akvon en la sitelon.	paloob	0	0
Ang malumot na antigong kagubatan ng kapuluan ng Haida Gwaii ay mukhang sagrado.	La muskoplenaj antikvaj arbaroj de la insularo Haida Gwaii aspektas sanktaj.	sagrado	0	0
Natagpo ko si Sherie sa eskinita noong ika-23 ng Setyembre ng 2021, sa Isla Lulu. May lahing Amerindiyong Cree at Pranses siya. Mayroon siyang artipisyal na pangil nang bampira, dahil Gotika siya. Binibiro ko siyang malapit na ang paborito niyang panahon ng Halloween. Sang-ayon kaming malungkot para sa mga bata ang Halloween ngayon dahil ng Pandemya.	Mi renkontis Ŝerion en la strateto la 23-an de septembro de 2021, sur Lulu-insulo. Ŝi havas sangon el kri-indianoj kaj francoj. Ŝi havas artefaritajn vampirajn dentegojn, ĉar ŝi estas gotika. Mi ŝercas al ŝi, ke ŝia plej ŝatata sezono de Haloveno alproksimiĝas. Ni konsentas, ke Halovenoj estas malĝojaj por infanoj hodiaŭ pro la Pandemio.	binibiro	0	0
Nahiya siya sa mga luha niya.	Li hontis pro siaj larmoj.	nahiya	0	0
Isang basong tubig nga, iha.	Unu glason da akvo, mi petas.	iha	0	0
Interesado siya sa kung anumang bagay tungkol sa relihiyon.	Li interesiĝas pri io ajn koncerne religion.	interesado	0	0
Nagtretreng pang-ilalim ako hanggang eskuwela.	Mi veturas per metroo al la lernejo.	eskuwela	0	0
Huwag malito sa Austria at Australia.	Ne konfuzu Aŭstrion kun Aŭstralio.	malito	0	0
Tatlong klaseng gatas ang iniinom ko: gatas ng almendras, gatas ng abena, at gatas ng niyog; gusto ko sa umaga, sa tanghali, at sa hapon, at pinasingawan man o may yelo.	Mi trinkas tri laktospecojn: migdallakton, avenlakton, kaj kokoslakton; mi ŝatas matene, tagmeze, kaj posttagmeze, kaj eĉ vaporigite aŭ kunglacie.	niyog	0	0
Tinadtad ang mga puno – hindi lahat – sa katabi ng daan.	Oni elhakis arbojn ― ne ĉiujn ― apud la vojo.	katabi	0	0
May ilang sistema para isulat ang wikang Hokkien: mga logogramang may kasamang mga Bopomofo, mga logogramang may kasamang mga Katakana, mga logograma, mga logogramang may kasamang mga letrang Romano, at ilang sistemang ginagamit ang mga letrang Romano lamang: Pe̍h-ōe-jī (POJ), Bbánlám pìngyīm, Daighi tongiong pingim, Modernong Literal na Taywanes (MLT), Phofsit Daibuun, Tâi-uân Lô-má-jī Phing-im Hong-àn, at Taywang Lengguwaheng Ponetikong Alpabeto (TLPA). Mayroong hindi mababa sa 11 metodong pagsusulat ang wikang Hokkien.	Ekzistas kelkaj sistemoj por skribi la hoklan: per logogramoj kun bopomofoj, per logogramoj kun strekaj kanaoj, per logogramoj, per logogramoj kun romliteroj, kaj per kelkaj romliteraj sistemoj, nome Pe̍h-ōe-jī (POJ), Bbánlám pìngyīm, Daighi tongiong pingim, Moderna Laŭvorta Tajvana (MLT), Phofsit Daibuun, Tâi-uân Lô-má-jī Phing-im Hong-àn, kaj la Tajvanlingva Fonetika Alfabeto (TLPA). Ekzistas almenaŭ 11 metodoj por skribi la hoklan, la hokkienan.	sistemang	0	0
Nang umaga ng ika-21 ng Hulyo ng 2025, habang naglalakad sa kalye, bulong ko: "Tutubi!" May lumilipad na tutubi. Sa hapon, pumunta ako sa Parkeng Timog na Braso, dito sa Isla Lulu. Nagbabarbikyu ang mga kayumanggi. Nagtetenis ang mga dilaw. Ang mga puno ay templo para sa akin. Lunes ngayon.	Matene de la 21-a de julio de 2025, dum mi promenis sur la strato, mi flustris: "Libelo!" Libelo preterflugis. Posttagmeze mi iris al la Parko Suda Brako, ĉi tie sur Lulu-insulo. Brunuloj barbakuis. Flavuloj ludis tenison. La arbaro estas templo por mi. Estas lundo hodiaŭ.	bulong	0	0
Nakita kong may isang puting ulap na naglayag sa langit.	Mi vidis blankan nubon ŝvebi tra la ĉielo.	naglayag	0	0
Nagsayaw siya sa apoy.	Li dancis tra la fajro.	nagsayaw	0	0
Humahaginit ang mga bubuyog sa paligid ng anila.	La abeloj zumas ĉirkaŭ la abelujo.	bubuyog	0	0
Umaasa akong di ka kasing ligaya ko, kundi mas.	Mi esperas, ke vi feliĉas ne kiel mi, sed pli.	ligaya	0	0
